name,email,cell,dob

fghhg,gfgf@dfgf,56757567,0007-05-06
dfdfg,guyg@hjhj.com,,
dfgd,dfgdfg@dfggf.com,364646,46456-05-06
gjgjgj,dfgdfg@dfggf.com,66776767,0077-05-06
jggggj,dfgdfg@dfggf.com,456456456,0656-04-05
frhfh,dfgdfg@dfggf.com,4456456,0646-04-05
hffhdfh,dfgdfg@dfggf.com,4565656,0066-04-05
fgfgf,dfgdfg@dfggf.com,67545677,0007-05-06
dfgfgs,dfgdfg@dfggf.com,54656,0006-04-05
fgdfgfg,dfgdfg@dfggf.com,56565656,6566-04-05
fghfhg,dfgdfg@dfggf.com,56565635,0066-04-05
dfdfgd,dfgdfg@dfggf.com,56756757,0767-05-06
fgfgf,dfgdfg@dfggf.com,5656456356,0566-03-04
dfggsg,dfgdfg@dfggf.com,456566,0025-03-04
fgdh,dfgdfg@dfggf.com,574746,0077-04-06
fghdhd,dfgdfg@dfggf.com,5636356,0056-03-04
fgdsh,dfgdfg@dfggf.com,565636,0445-04-05
dfggs,dfgdfg@dfggf.com,5636356,5252-03-04
